127.0.0.1 - - [12/Jan/2024:09:40:37 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:01:32 +0900] "GET /jspweb_08/index.html HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:01:33 +0900] "GET /jspweb_08/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:06:11 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 4318
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:06:13 +0900] "GET /jspweb_08/departlist.jsp HTTP/1.1" 200 2647
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:12:32 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:12:34 +0900] "GET /jspweb_08/departlist.jsp HTTP/1.1" 200 2647
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:12:35 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 4318
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:12:36 +0900] "GET /jspweb_08/empform.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:12:38 +0900] "GET /jspweb_08/departlist.jsp HTTP/1.1" 200 2647
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:12:43 +0900] "GET /jspweb_08/departlist.jsp HTTP/1.1" 200 2647
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:12:46 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:12:47 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 4318
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:12:48 +0900] "GET /jspweb_08/empform.jsp HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:12:50 +0900] "GET /jspweb_08/emplist.jsp HTTP/1.1" 200 4318
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:12:51 +0900] "GET /jspweb_08/departform.jsp HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:12:52 +0900] "GET /jspweb_08/departlist.jsp HTTP/1.1" 200 2647
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:12:54 +0900] "GET /jspweb_08/departlist.jsp HTTP/1.1" 200 2647
0:0:0:0:0:0:0:1 - - [12/Jan/2024:17:12:56 +0900] "GET /jspweb_08/departlist.jsp HTTP/1.1" 200 2647
